    1, , "Bradford/ M.J./ M. Koops/ R. Randall/ A. Van Der Lee/ L. de Mestral Bezanson" ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
    2, , A-M. Huang ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
    3, , A. Bundy/ D. Themelis/ J. Sperl/ and N. den Heyer / T. Worcester / V. Myra ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
    4, , A. Bundy/ J.N. Araújo/ and S. Guénette / T. Worcester / V. Myra ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
    5, , A. Bundy/ M. Fowler/ W. MacEachern/ P. Fanning ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
    6, , A. Campbell ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
    7, , A. Campbell/ D. Tzotzos/ W. C. Hajas/ L.L. Barton ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
    8, , A. Campbell/ I. Winther/ B.Adkins/ D. Brouwer/ D. Miller ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
    9, , A. Cass ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   10, , A. Chris Day ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   11, , A. Clay/ R. Claytor ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   12, , A. Cogswell/ A./ Kenchington/ E./ Lee/ K./ Payne/ J./ Worcester/ T. ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   13, , A. Drake and D. Andrews ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   14, , A. Dupuis and F. Ucan-Marin ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   15, , A. F. Sinclair ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   16, , A. Fréchet ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   17, , A. Fréchet/ P. Schwab ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   18, , A. Fréchet; D. Gascon ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   19, , A. Fréchet; G. Chouinard ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   20, , A. Fréchet; G. Ouellet ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   21, , A. Fréchet; P. Schwab ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   22, , A. Fréchet; P. Schwab; P. Gagnon ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   23, , A. Fréchet; P. Schwab; Y. Lambert; D. Chabot; D. Decker; G. Rowe; P. Nadeau; F. Collier ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   24, , A. Fréchet; Y. Gagnon ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   25, , A. Fréchet; Y. Gagnon; P. Schwab; D. D'Amours; J.D. Dutil/ Y. Lambert; L. Bourassa/ and C. Rollet ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   26, , A. Hebda / T. McIntyre / V. Myra ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   27, , A. J. F. Gibson and A. L. Levy ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   28, , A. Le Bris/ A. Fréchet/ J.-C. Brêthes ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   29, , A. Locke ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   30, , A. Locke/ N. E. Mandrak and T.W. Therriault ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   31, , A. Locke; F. Mobray; R. Pickard; A. Madden ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   32, , A. Locke; F. Mowbray ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
   33, , A. Locke; F. Mowbray; R. Claytor ,  ,  ,  ,  ,  ,  , 1,  ,  , 1, 1,  ,  ,  ,  
